ano,espvida,fectot,mort1,sobre60,e_anosestudo,gini,ppobcri,pren20ricos,pren80,rdpc,rdpc1,rdpc10,rmpob,rpob,theil,emp,theiltrab,t_banagua,t_lixo,t_luz,t_fora6a14,t_fundin_todos,t_m10a14cf,t_mulchefefif014,homemtot,mulhertot,pesorur,pesourb,i_escolaridade,idhm,idhm_l
1991,63.73,5.1,48.4,70.5,7.97,0.48,88.89,54.2,45.8,174.46,40.19,669.58,78.79,106.09,0.39,,,13.84,0.0,68.11,20.13,23.17,0.0,9.83,2569,2568,1669,3468,191,409,646
1991,63.41,8.63,49.58,69.96,4.94,0.42,91.83,49.17,50.83,160.66,49.62,553.21,85.69,112.46,0.29,,,4.53,3.68,34.31,83.31,33.82,0.85,20.3,5996,4781,9360,1417,26,208,0.64
1991,57.34,7.0,75.82,59.7,2.57,0.52,91.21,56.54,43.46,110.28,20.1,437.7,58.16,72.61,0.42,,,0.62,0.0,40.53,49.38,22.86,0.0,19.68,2674,2371,3369,1676,59,291,539
1991,59.56,6.2,65.43,63.44,2.62,0.63,83.62,63.17,36.83,122.27,0.0,530.61,43.01,67.5,0.45,,,5.85,0.0,45.45,71.73,26.7,0.0,24.01,7846,7044,5803,9087,28,187,576
1991,60.91,7.28,59.59,65.73,5.19,0.63,91.8,67.22,32.78,151.9,14.85,826.02,60.91,77.65,0.6,,,19.96,22.31,49.55,69.19,32.78,0.29,14.68,17028,16024,17608,15444,57,254,599
1991,61.72,6.62,56.25,67.09,6.36,0.5,86.64,55.81,44.19,187.64,39.13,746.42,75.27,105.99,0.43,,,43.84,64.42,63.97,34.08,22.85,0.25,15.04,29275,27651,20907,36019,137,339,612
1991,62.17,5.41,54.43,67.86,3.84,0.69,81.14,69.76,30.24,191.32,0.0,990.99,39.03,71.16,0.53,,,12.79,33.98,18.29,61.01,38.93,0.59,13.04,5624,5094,8327,2391,46,244,0.62
1991,65.87,3.04,43.21,72.91,7.64,0.56,53.87,60.5,39.5,537.29,87.77,2404.5,88.8,144.89,0.55,,,72.2,77.94,99.22,23.88,16.03,0.45,21.47,493891,517610,4916,1006585,436,521,681
1991,62.29,6.29,53.94,68.07,5.65,0.57,87.24,61.86,38.14,167.99,27.7,776.14,64.49,88.99,0.56,,,5.94,0.0,41.71,58.05,26.31,1.31,16.05,19608,18249,23484,14373,81,287,622
1991,60.95,8.63,59.44,65.79,4.04,0.45,95.36,52.03,47.97,127.09,39.09,492.77,76.31,91.42,0.33,,,1.22,1.38,32.4,57.73,18.35,0.64,14.19,6257,5581,9639,2199,46,265,599
